Timestamp,R2 Value
2025-02-20 16:31:07,-0.01
2025-02-20 16:32:16,279.87
2025-02-20 16:33:25,100.18
2025-02-20 16:34:34,99.97
2025-02-20 16:35:43,99.87
2025-02-20 16:36:53,99.82
2025-02-20 16:38:02,99.79
2025-02-20 16:39:11,99.76
2025-02-20 16:40:20,99.73
2025-02-20 16:41:29,99.72
2025-02-20 16:42:38,99.7
2025-02-20 16:43:48,99.66
2025-02-20 16:44:57,99.62
2025-02-20 16:46:06,99.61
2025-02-20 16:47:15,99.59
2025-02-20 16:48:24,99.58
2025-02-20 16:49:33,99.58
2025-02-20 16:50:43,99.55
2025-02-20 16:51:52,99.52
2025-02-20 16:53:01,99.52
2025-02-20 16:54:10,99.51
2025-02-20 16:55:19,99.51
2025-02-20 16:56:28,99.52
2025-02-20 16:57:38,99.5
2025-02-20 16:58:47,99.49
2025-02-20 16:59:56,99.48
2025-02-20 17:01:05,99.47
2025-02-20 17:02:14,99.44
2025-02-20 17:03:23,99.42
2025-02-20 17:04:33,99.39
2025-02-20 17:05:42,99.39
2025-02-20 17:06:51,99.39
2025-02-20 17:08:00,99.38
2025-02-20 17:09:09,99.37
2025-02-20 17:10:18,99.34
2025-02-20 17:11:27,99.36
2025-02-20 17:12:37,99.33
2025-02-20 17:13:46,99.31
2025-02-20 17:14:55,99.28
2025-02-20 17:16:04,99.28
2025-02-20 17:17:13,99.27
2025-02-20 17:18:22,99.27
2025-02-20 17:19:32,99.25
2025-02-20 17:20:41,99.24
2025-02-20 17:21:50,99.24
2025-02-20 17:22:59,99.26
2025-02-20 17:24:08,99.24
2025-02-20 17:25:17,99.24
2025-02-20 17:26:27,99.2
2025-02-20 17:27:36,99.2
2025-02-20 17:28:45,99.18
2025-02-20 17:29:54,99.18
2025-02-20 17:31:03,99.16
2025-02-20 17:32:12,99.17
2025-02-20 17:33:22,99.17
2025-02-20 17:34:31,211.5
2025-02-20 17:35:40,211.44
2025-02-20 17:36:49,232.03
2025-02-20 17:37:58,246.9
2025-02-21 14:50:14,16.19
2025-02-21 14:51:23,16.19
2025-02-26 15:41:22,424.93
2025-02-26 15:42:31,880.03
2025-02-26 15:43:40,0.18
